date,symbol,market_cap
2011-04-30,HCLTECH,
2011-04-30,TMPV,
2011-04-30,SUNPHARMA,
2011-04-30,GRAPHITE,
2011-04-30,IPCALAB,
2011-04-30,IGL,
2011-04-30,AUROPHARMA,
2011-04-30,CIPLA,
2011-05-31,PFOCUS,
2011-05-31,SAIL,
2011-05-31,CGPOWER,
2011-05-31,IFCI,
2011-05-31,HFCL,
2011-05-31,JUBLPHARMA,
2011-05-31,LUPIN,
2011-05-31,TCS,
2011-05-31,BEML,
2011-05-31,ASIANPAINT,
2011-05-31,FINCABLES,
2011-05-31,IOC,
2011-05-31,COROMANDEL,
2011-05-31,EXIDEIND,
2011-05-31,IOB,
2011-05-31,ULTRACEMCO,
2011-05-31,BAJAJ-AUTO,
2011-05-31,DRREDDY,
2011-05-31,UPL,
2011-05-31,BALKRISIND,
2011-05-31,SBIN,
2011-05-31,HCLTECH,
2011-05-31,EMAMILTD,
2011-05-31,IRB,
